ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
50,147,2280,578,947,887,35,21080,18540,0,0
50,147,2280,650,1234,893,34,24242,18337,0,0
50,147,2280,748,1227,901,35,28458,18896,0,0
50,147,2280,872,1252,919,37,37944,19721,0,0
50,147,2280,903,1251,925,37,41106,19762,0,0
50,147,2280,949,1176,937,38,47430,20400,0,0
50,147,2280,969,1121,946,39,52173,20572,0,0
50,147,2280,995,1120,966,40,62713,21301,0,0
50,147,2280,999,1047,975,40,67456,21489,0,0
50,147,2280,1000,997,985,41,72726,21839,0,0
50,147,2280,1002,1042,993,41,76942,21704,0,0
50,147,2280,1009,1111,1010,41,85901,21730,0,0
50,147,2280,1013,1104,1018,41,90117,21936,0,0
50,147,2280,1019,1173,1025,41,93806,21689,0,0
50,147,2280,1028,1214,1033,40,98022,21557,0,0
50,147,2280,1047,1225,1049,41,106454,21659,0,0
50,147,2280,1055,1244,1057,41,110670,21627,0,0
50,147,2280,1065,1168,1069,41,116994,21859,0,0
50,147,2280,1068,1084,1077,41,121210,21942,0,0
50,147,2280,1068,1008,1097,42,131750,22225,0,0
50,147,2280,1067,1020,1107,42,137020,22290,0,0
50,147,2280,1065,992,1117,42,142290,22421,0,0
50,147,2280,1063,986,1125,42,146506,22504,0,0
50,147,2280,1060,1041,1143,42,155992,22584,0,0
50,147,2280,1060,1061,1151,42,160208,22554,0,0
50,147,2280,1061,1079,1163,42,166532,22645,0,0
50,147,2280,1062,1083,1171,43,170748,22699,0,0
50,146,2280,1063,1088,1187,43,179180,22784,0,0
50,146,2280,1065,1131,1195,42,183396,22582,0,0
50,146,2280,1068,1149,1204,42,188139,22528,0,0
50,146,2280,1069,1193,1213,42,192882,22554,0,0
50,146,2280,1074,1161,1232,43,202895,22692,0,0
50,146,2280,1075,1135,1240,42,207111,22647,0,0
50,146,2280,1076,1116,1248,42,211327,22616,0,0
50,146,2280,1078,1166,1256,42,215543,22581,0,0
